"","SICto","SICfrom","value"
"3284","46","21",621.3957327
"3286","49.1-2","21",1.063607013
"3287","49.3-5","21",47.7211208
"3288","50","21",2.145500735
"3290","52","21",95.99984549
"3291","53","21",207.0733979
"3293","56","21",4.616603091
"3294","58","21",74.8995991
"3296","61","21",61.14162967
"3297","62","21",373.4244116
"3298","63","21",55.42350278
"3299","64","21",965.7953901
"3300","65.1-3","21",9.765839843
"3301","66","21",8.198749839
"3302","68.1-2","21",18.27824125
"3304","69.1","21",89.00409346
"3305","69.2","21",154.6349673
"3306","70","21",112.7447547
"3307","71","21",159.8893722
"3308","72","21",80.8199472
"3309","73","21",277.4792745
"3310","74","21",30.06266005
"3311","75","21",0.89458684
"3312","77","21",34.38338044
"3313","78","21",109.6997248
"3314","79","21",0.273811189
"3316","81","21",27.79965378
"3317","82","21",59.23192908
"3318","84","21",95.02420267
"3319","85","21",68.32253708
"3320","86","21",9.041531622
"3326","94","21",15.39578681
"3328","96","21",3.783366901
"3329","1","22",26.19098211
"3333","06 & 07","22",0.205183008
"3334","8","22",1.205318368
"3336","10.1","22",1.955730899
"3337","10.2-3","22",5.846382803
"3338","10.4","22",0.498080807
"3339","10.5","22",2.975292328
"3340","10.6","22",0.34917868
"3341","10.7","22",2.920101787
"3342","10.8","22",5.840508034
"3347","13","22",7.196350563
"3349","15","22",0.454688357
"3350","16","22",25.44533256
"3351","17","22",249.1299664
"3352","18","22",13.56730667
"3353","19","22",5.498732864
"3354","20A","22",7.812565475
"3355","20B","22",932.0765046
"3356","20C","22",2.53440783
"3357","20.3","22",6.353854648
"3358","20.4","22",0.160887231
"3359","20.5","22",18.47720266
"3360","21","22",1.844961744
"3361","22","22",610.4843102
"3362","23OTHER","22",86.42287411
"3363","23.5-6","22",0.329837977
"3364","24.1-3","22",20.14404039
"3365","24.4-5","22",14.10593683
"3366","25OTHER","22",528.9920954
"3367","25.4","22",0.912879318
"3368","26","22",15.01508235
"3369","27","22",15.05854687
"3370","28","22",37.91583764
"3371","29","22",27.54317497
"3373","30.3","22",0.301910174
"3374","30OTHER","22",0.120246147
"3375","31","22",7.573167262
"3376","32","22",13.45557113
"3377","33.15","22",0.440803508
"3378","33.16","22",1.391659911
"3379","33OTHER","22",190.3780634
"3380","35.1","22",321.332652
"3381","35.2-3","22",243.176197
"3382","36","22",21.7467915
"3383","37","22",6.116812701
"3384","38","22",3.646663794
"3386","41-43","22",93.75872509
"3387","45","22",268.8924396
"3388","46","22",678.2395639
"3390","49.1-2","22",2.074456157
"3391","49.3-5","22",80.72737444
"3392","50","22",3.361579781
"3394","52","22",7.604764182
"3395","53","22",15.46987626
"3396","55","22",0.950242992
"3397","56","22",5.791255222
"3398","58","22",18.24528267
"3399","59-60","22",0.122828784
"3400","61","22",11.65934422
"3401","62","22",53.37597334
"3402","63","22",4.152162359
"3403","64","22",398.4996173
"3404","65.1-3","22",27.1616103
"3405","66","22",1.113863558
"3406","68.1-2","22",35.84647773
"3408","69.1","22",26.06702471
"3409","69.2","22",37.54492298
"3410","70","22",43.3238812
"3411","71","22",92.06977084
"3412","72","22",20.07315612
"3413","73","22",78.40648102
"3414","74","22",1.531135819
"3416","77","22",86.93531724
"3417","78","22",30.00624474
"3418","79","22",1.402700898
"3420","81","22",24.98267135
"3421","82","22",12.06359366
"3422","84","22",26.98964283
"3423","85","22",22.17726664
"3424","86","22",2.957763238
"3425","87-88","22",0.268067924
"3427","91","22",0.122828784
"3430","94","22",5.921350233
"3432","96","22",2.097742872
"3436","5","23OTHER",1.152574183
"3438","8","23OTHER",65.50707276
"3440","10.1","23OTHER",5.764276898
"3441","10.2-3","23OTHER",6.752929398
"3443","10.5","23OTHER",2.001452972
"3446","10.8","23OTHER",15.64205273
"3451","13","23OTHER",4.887733379
"3454","16","23OTHER",2.304055788
"3455","17","23OTHER",96.01247033
"3456","18","23OTHER",7.955175406
"3457","19","23OTHER",12.02261449
"3458","20A","23OTHER",0.18948228
"3459","20B","23OTHER",185.060034
"3460","20C","23OTHER",4.185463186
"3461","20.3","23OTHER",17.60910951
"3465","22","23OTHER",33.1736523
"3466","23OTHER","23OTHER",56.59309625
"3467","23.5-6","23OTHER",33.09257781
"3468","24.1-3","23OTHER",6.267008638
"3469","24.4-5","23OTHER",12.55551231
"3470","25OTHER","23OTHER",110.1637753
"3472","26","23OTHER",4.443720831
"3473","27","23OTHER",5.304231721
"3474","28","23OTHER",2.714966498
"3475","29","23OTHER",0.769337407
"3479","31","23OTHER",5.962392974
"3480","32","23OTHER",16.2348868
"3483","33OTHER","23OTHER",42.83233563
"3484","35.1","23OTHER",220.8941754
"3485","35.2-3","23OTHER",460.1474814
"3486","36","23OTHER",17.5630894
"3487","37","23OTHER",2.184306791
"3488","38","23OTHER",12.43530416
"3490","41-43","23OTHER",46.24962364
"3491","45","23OTHER",21.0102683
"3492","46","23OTHER",279.8944493
"3494","49.1-2","23OTHER",2.07336166
"3495","49.3-5","23OTHER",270.3025173
"3496","50","23OTHER",3.097939311
"3497","51","23OTHER",0.989778697
"3498","52","23OTHER",15.83540178
"3499","53","23OTHER",14.29555348
"3501","56","23OTHER",2.117654811
"3502","58","23OTHER",15.49965057
"3504","61","23OTHER",13.42136052
"3505","62","23OTHER",36.17960447
"3506","63","23OTHER",3.055129145
"3507","64","23OTHER",240.8109638
"3508","65.1-3","23OTHER",2.342407054
"3509","66","23OTHER",6.629197141
"3510","68.1-2","23OTHER",8.115171463
"3512","69.1","23OTHER",7.131488408
"3513","69.2","23OTHER",13.068471
"3514","70","23OTHER",17.06574762
"3515","71","23OTHER",31.01664893
"3516","72","23OTHER",7.007201304
"3517","73","23OTHER",33.07053997
"3518","74","23OTHER",4.858294571
"3520","77","23OTHER",64.52175506
"3521","78","23OTHER",20.65229596
"3522","79","23OTHER",0.216666853
"3524","81","23OTHER",5.829811999
"3525","82","23OTHER",9.845977423
"3526","84","23OTHER",9.0283392
"3527","85","23OTHER",9.087618115
"3533","93","23OTHER",1.206619128
"3535","95","23OTHER",0.951357621
"3536","96","23OTHER",3.869263382
"3540","5","23.5.6",30.88905384
"3542","8","23.5.6",96.42706086
"3544","10.1","23.5.6",0.95193538
"3545","10.2-3","23.5.6",1.902709798
"3546","10.4","23.5.6",0.119824044
"3547","10.5","23.5.6",1.849113088
"3549","10.7","23.5.6",0.945482218
"3550","10.8","23.5.6",41.79663837
"3555","13","23.5.6",8.344006836
"3558","16","23.5.6",52.78659977
"3559","17","23.5.6",69.88771269
"3561","19","23.5.6",33.94976871
"3562","20A","23.5.6",2.129666123
"3563","20B","23.5.6",67.88676942
"3564","20C","23.5.6",4.714291834
"3565","20.3","23.5.6",5.795732272
"3567","20.5","23.5.6",0.97280466
"3569","22","23.5.6",44.80057798
"3570","23OTHER","23.5.6",75.93114281
"3571","23.5-6","23.5.6",687.3056136
"3572","24.1-3","23.5.6",15.44358879
"3573","24.4-5","23.5.6",10.4403984
"3574","25OTHER","23.5.6",127.7930043
"3576","26","23.5.6",0.985043497
"3577","27","23.5.6",0.930805066
"3578","28","23.5.6",0.84690223
"3579","29","23.5.6",1.193403745
"3583","31","23.5.6",6.39328518
"3584","32","23.5.6",3.697697917
"3587","33OTHER","23.5.6",47.43068339
"3588","35.1","23.5.6",260.5922364
"3589","35.2-3","23.5.6",328.128596
"3590","36","23.5.6",12.01063498
"3591","37","23.5.6",5.50335911
"3592","38","23.5.6",1.958421426
"3594","41-43","23.5.6",56.23524429
"3595","45","23.5.6",11.76092305
"3596","46","23.5.6",261.7026226
"3598","49.1-2","23.5.6",3.698901179
"3599","49.3-5","23.5.6",423.9314221
"3600","50","23.5.6",4.617447076
"3601","51","23.5.6",0.912507331
"3602","52","23.5.6",10.21722866
"3603","53","23.5.6",50.12894159
"3605","56","23.5.6",2.765595848
"3606","58","23.5.6",6.494271773
"3608","61","23.5.6",17.52353974
"3609","62","23.5.6",27.20984275
"3610","63","23.5.6",1.900645143
"3611","64","23.5.6",227.4011292
"3612","65.1-3","23.5.6",4.709237852
"3613","66","23.5.6",21.05534338
"3614","68.1-2","23.5.6",7.431011298
"3616","69.1","23.5.6",4.73696912
"3617","69.2","23.5.6",7.593797138
"3618","70","23.5.6",10.33034554
"3619","71","23.5.6",24.12412834
"3620","72","23.5.6",2.904674333
"3621","73","23.5.6",22.47326933
"3622","74","23.5.6",0.972580135
"3624","77","23.5.6",82.17148319
"3625","78","23.5.6",7.512451549
"3628","81","23.5.6",1.901971549
"3629","82","23.5.6",7.396604493
"3630","84","23.5.6",1.188811104
"3631","85","23.5.6",8.32887286
"3632","86","23.5.6",0.925846789
"3637","93","23.5.6",6.378886462
"3640","96","23.5.6",2.730990601
"3648","10.1","24.1.3",28.14138862
"3649","10.2-3","24.1.3",25.51248423
"3651","10.5","24.1.3",21.10787139
"3653","10.7","24.1.3",28.1359175
"3654","10.8","24.1.3",13.22627132
"3662","16","24.1.3",3.359043439
"3663","17","24.1.3",7.863179909
"3665","19","24.1.3",113.6166336
"3667","20B","24.1.3",51.78580254
"3668","20C","24.1.3",14.1187822
"3669","20.3","24.1.3",2.235867505
"3671","20.5","24.1.3",0.899773314
"3673","22","24.1.3",7.773052557
"3674","23OTHER","24.1.3",76.11319821
"3675","23.5-6","24.1.3",18.65079283
"3676","24.1-3","24.1.3",1493.03467
"3677","24.4-5","24.1.3",65.23269839
"3678","25OTHER","24.1.3",86.40423144
"3680","26","24.1.3",6.920153493
"3681","27","24.1.3",0.723146944
"3682","28","24.1.3",2.308695665
"3683","29","24.1.3",1.881433321
"3688","32","24.1.3",0.486960952
"3690","33.16","24.1.3",0.171680799
"3691","33OTHER","24.1.3",76.56907149
"3692","35.1","24.1.3",240.6614468
"3693","35.2-3","24.1.3",203.6085687
"3694","36","24.1.3",9.017794027
"3695","37","24.1.3",2.692578016
"3696","38","24.1.3",51.08597654
"3698","41-43","24.1.3",39.2246559
"3699","45","24.1.3",29.92867589
"3700","46","24.1.3",768.1080514
"3703","49.3-5","24.1.3",107.2627497
"3704","50","24.1.3",6.206575934
"3705","51","24.1.3",0.886183671
"3706","52","24.1.3",7.384838089
"3707","53","24.1.3",12.68379643
"3708","55","24.1.3",0.883482033
"3709","56","24.1.3",6.190042874
"3710","58","24.1.3",2.846677216
"3712","61","24.1.3",12.01665708
"3713","62","24.1.3",100.0655827
"3714","63","24.1.3",9.720856195
"3715","64","24.1.3",95.28038876
"3716","65.1-3","24.1.3",7.348777782
"3717","66","24.1.3",12.38237498
"3718","68.1-2","24.1.3",3.097002955
"3720","69.1","24.1.3",4.651610245
"3721","69.2","24.1.3",3.866444948
"3722","70","24.1.3",9.992539101
"3723","71","24.1.3",39.26673243
"3724","72","24.1.3",2.870826682
"3725","73","24.1.3",18.00609311
"3726","74","24.1.3",5.445893135
"3728","77","24.1.3",67.08490319
"3729","78","24.1.3",24.01496709
"3732","81","24.1.3",6.208059597
"3733","82","24.1.3",9.726318732
"3734","84","24.1.3",19.8522114
"3735","85","24.1.3",7.311073977
"3736","86","24.1.3",0.918285298
"3738","90","24.1.3",0.878918919
"3748","5","24.4.5",2.747648182
"3750","8","24.4.5",4.564167049
"3752","10.1","24.4.5",0.949367338
"3753","10.2-3","24.4.5",2.781638665
"3755","10.5","24.4.5",1.855036588
"3757","10.7","24.4.5",1.846631077
"3758","10.8","24.4.5",7.329811238
"3763","13","24.4.5",0.133101432
"3766","16","24.4.5",2.964073415
"3767","17","24.4.5",6.977963971
"3768","18","24.4.5",2.797456392
"3769","19","24.4.5",0.11426902
"3770","20A","24.4.5",8.233361008
"3771","20B","24.4.5",8.459400634
"3772","20C","24.4.5",11.89958408
"3773","20.3","24.4.5",0.349364547
"3777","22","24.4.5",12.2931576
"3778","23OTHER","24.4.5",80.79522015
"3779","23.5-6","24.4.5",16.36582188
"3780","24.1-3","24.4.5",67.4905983
"3781","24.4-5","24.4.5",86.97347407
"3782","25OTHER","24.4.5",110.999319
"3784","26","24.4.5",7.217749222
"3785","27","24.4.5",8.53821331
"3786","28","24.4.5",1.580569007
"3787","29","24.4.5",5.424880231
"3789","30.3","24.4.5",0.77704066
"3791","31","24.4.5",0.131544773
"3792","32","24.4.5",0.378895249
"3794","33.16","24.4.5",3.004413985
"3795","33OTHER","24.4.5",70.09924919
"3796","35.1","24.4.5",256.4611895
"3797","35.2-3","24.4.5",82.31207171
"3798","36","24.4.5",22.94700079
"3799","37","24.4.5",1.859307036
"3800","38","24.4.5",23.78917584
"3802","41-43","24.4.5",25.39903329
"3803","45","24.4.5",21.49227701
"3804","46","24.4.5",607.8732785
"3807","49.3-5","24.4.5",16.89630506
"3808","50","24.4.5",1.861502037
"3810","52","24.4.5",6.664321496
"3811","53","24.4.5",22.08358863
"3812","55","24.4.5",0.918621054
"3813","56","24.4.5",2.837438795
"3814","58","24.4.5",3.800150519
"3816","61","24.4.5",6.567878808
"3817","62","24.4.5",67.36648979
"3818","63","24.4.5",7.449847756
"3819","64","24.4.5",130.5991969
"3820","65.1-3","24.4.5",7.448462439
"3821","66","24.4.5",2.794035229
"3822","68.1-2","24.4.5",4.787295481
"3824","69.1","24.4.5",4.773819963
"3825","69.2","24.4.5",9.491958006
"3826","70","24.4.5",6.876179118
"3827","71","24.4.5",17.19196001
"3828","72","24.4.5",2.923439097
"3829","73","24.4.5",12.30299582
"3830","74","24.4.5",2.842357827
"3832","77","24.4.5",18.07666176
"3833","78","24.4.5",9.507948952
"3834","79","24.4.5",0.214874769
"3836","81","24.4.5",4.670366176
"3837","82","24.4.5",7.434235333
"3838","84","24.4.5",14.8267208
"3839","85","24.4.5",5.696547772
"3840","86","24.4.5",1.851066053
"3846","94","24.4.5",1.87126041
"3848","96","24.4.5",4.609965189
"3852","5","25OTHER",9.518830913
"3854","8","25OTHER",0.986931118
"3856","10.1","25OTHER",0.337321094
"3857","10.2-3","25OTHER",0.26523063
"3859","10.5","25OTHER",0.15572751
"3861","10.7","25OTHER",0.125515606
"3862","10.8","25OTHER",0.608851687
"3867","13","25OTHER",3.328517761
"3869","15","25OTHER",0.346207971
"3870","16","25OTHER",78.37510248
"3871","17","25OTHER",82.87026904
"3872","18","25OTHER",7.642907638
"3873","19","25OTHER",25.38633212
"3874","20A","25OTHER",0.148038402
"3875","20B","25OTHER",31.7234479
"3876","20C","25OTHER",1.893247629
"3877","20.3","25OTHER",181.1389885
"3879","20.5","25OTHER",1.093276645
"3881","22","25OTHER",137.8557701
"3882","23OTHER","25OTHER",23.54596394
"3883","23.5-6","25OTHER",9.687322874
"3884","24.1-3","25OTHER",1229.840633
"3885","24.4-5","25OTHER",194.7630193
"3886","25OTHER","25OTHER",1950.398947
"3887","25.4","25OTHER",6.745288839
"3888","26","25OTHER",44.63753162
"3889","27","25OTHER",55.14725047
"3890","28","25OTHER",44.22822506
"3891","29","25OTHER",71.28648912
"3893","30.3","25OTHER",1.981862644
"3894","30OTHER","25OTHER",1.760563184
"3895","31","25OTHER",3.657958882
"3896","32","25OTHER",28.36810975
"3898","33.16","25OTHER",7.210593565
"3899","33OTHER","25OTHER",214.4003928
"3900","35.1","25OTHER",279.6716606
"3901","35.2-3","25OTHER",363.7824974
"3902","36","25OTHER",17.76581883
"3903","37","25OTHER",5.720972503
"3904","38","25OTHER",3.020991549
"3906","41-43","25OTHER",39.19967667
"3907","45","25OTHER",550.3259978
"3908","46","25OTHER",1164.640492
"3910","49.1-2","25OTHER",3.760631257
"3911","49.3-5","25OTHER",220.2068031
"3912","50","25OTHER",5.759642763
"3913","51","25OTHER",0.946358247
"3914","52","25OTHER",38.41940967
"3915","53","25OTHER",38.48138675
"3917","56","25OTHER",0.840396787
"3918","58","25OTHER",21.8911224
"3920","61","25OTHER",69.09552516
"3921","62","25OTHER",35.99735309
"3922","63","25OTHER",0.630294242
"3923","64","25OTHER",627.9479426
"3924","65.1-3","25OTHER",34.26755632
"3925","66","25OTHER",7.378981478
"3926","68.1-2","25OTHER",54.23200197
"3928","69.1","25OTHER",25.82196719
"3929","69.2","25OTHER",32.44569085
"3930","70","25OTHER",31.44617134
"3931","71","25OTHER",41.28538706
"3932","72","25OTHER",24.77487441
"3933","73","25OTHER",36.15108759
"3934","74","25OTHER",20.98622773
"3936","77","25OTHER",254.7377049
"3937","78","25OTHER",126.2381749
"3938","79","25OTHER",2.323954913
"3940","81","25OTHER",1.055233122
"3941","82","25OTHER",2.044261965
"3942","84","25OTHER",57.16188481
"3943","85","25OTHER",29.5587087
"3944","86","25OTHER",3.819600337
"3949","93","25OTHER",0.990533294
"3950","94","25OTHER",5.693659523
"3952","96","25OTHER",5.762809247
"3958","8","25.4",0.539904491
"3960","10.1","25.4",3.139086822
"3961","10.2-3","25.4",2.026901516
"3963","10.5","25.4",1.828288103
"3965","10.7","25.4",0.153743958
"3966","10.8","25.4",0.318339918
"3971","13","25.4",1.166330705
"3973","15","25.4",0.20712138
"3974","16","25.4",7.279429974
"3975","17","25.4",6.121000229
"3976","18","25.4",0.313696138
"3977","19","25.4",4.114472164
"3979","20B","25.4",5.028796782
"3980","20C","25.4",0.908760119
"3981","20.3","25.4",2.05348654
"3983","20.5","25.4",1.867583849
"3985","22","25.4",11.80170392
"3986","23OTHER","25.4",4.639295569
"3987","23.5-6","25.4",1.672351841
"3988","24.1-3","25.4",15.35367589
"3989","24.4-5","25.4",15.64517883
"3990","25OTHER","25.4",100.4517787
"3991","25.4","25.4",712.8529178
"3992","26","25.4",99.43597384
"3993","27","25.4",33.46028372
"3994","28","25.4",16.46897362
"3995","29","25.4",27.50926336
"3997","30.3","25.4",2.610338811
"3998","30OTHER","25.4",5.163660111
"3999","31","25.4",2.694829851
"4000","32","25.4",7.19394746
"4002","33.16","25.4",12.24397729
"4003","33OTHER","25.4",92.97977068
"4004","35.1","25.4",38.99921164
"4005","35.2-3","25.4",17.18124355
"4006","36","25.4",2.401162638
"4007","37","25.4",0.169694055
"4008","38","25.4",0.274676782
"4010","41-43","25.4",11.81030516
"4011","45","25.4",25.64053437
"4012","46","25.4",105.6770399
"4014","49.1-2","25.4",1.040458942
"4015","49.3-5","25.4",5.474917376
"4016","50","25.4",1.19808815
"4018","52","25.4",4.86370549
"4019","53","25.4",2.277670962
"4021","56","25.4",4.657187915
"4022","58","25.4",1.719394654
"4024","61","25.4",4.071800462
"4025","62","25.4",39.47299937
"4026","63","25.4",3.417179408
"4027","64","25.4",52.87121888
"4028","65.1-3","25.4",1.702225983
"4029","66","25.4",3.229793527
"4030","68.1-2","25.4",1.442268543
"4032","69.1","25.4",3.228102819
"4033","69.2","25.4",5.772443913
"4034","70","25.4",5.027543594
"4035","71","25.4",21.58666504
"4036","72","25.4",3.989700849
"4037","73","25.4",10.38109787
"4038","74","25.4",2.428260313
"4040","77","25.4",7.884056113
"4041","78","25.4",15.74672261
"4042","79","25.4",1.22532877
"4044","81","25.4",2.487368468
"4045","82","25.4",2.040644833
"4046","84","25.4",2.994678075
"4047","85","25.4",3.212211921
"4048","86","25.4",1.756086685
"4049","87-88","25.4",0.260132816
"4053","93","25.4",0.205206038
"4054","94","25.4",1.94472676
"4056","96","25.4",0.468669805
"4060","5","26",0.130872818
"4062","8","26",2.856757591
"4064","10.1","26",43.13448528
"4065","10.2-3","26",7.545803228
"4066","10.4","26",0.148115773
"4067","10.5","26",2.338539344
"4069","10.7","26",3.092725294
"4070","10.8","26",5.968263799
"4075","13","26",3.810854545
"4077","15","26",0.23036756
"4078","16","26",16.72964744
"4079","17","26",53.97153213
"4080","18","26",2.566803957
"4081","19","26",26.63658465
"4082","20A","26",1.302807083
"4083","20B","26",37.61873432
"4084","20C","26",0.616465116
"4085","20.3","26",19.42182086
"4086","20.4","26",2.822824764
"4087","20.5","26",30.99511904
"4088","21","26",0.237065057
"4089","22","26",140.6821639
"4090","23OTHER","26",110.8129578
"4092","24.1-3","26",102.9283
"4093","24.4-5","26",114.6310293
"4094","25OTHER","26",507.8588674
"4095","25.4","26",0.107457033
"4096","26","26",2783.128446
"4097","27","26",639.4145545
"4098","28","26",206.1555736
"4099","29","26",69.82485999
"4101","30.3","26",1.871262682
"4102","30OTHER","26",6.210297868
"4103","31","26",7.531697651
"4104","32","26",117.8523171
"4106","33.16","26",5.665466372
"4107","33OTHER","26",307.667112
"4108","35.1","26",135.8522318
"4109","35.2-3","26",80.50678732
"4110","36","26",11.91736435
"4111","37","26",2.779112086
"4112","38","26",3.671570459
"4114","41-43","26",25.79788165
"4115","45","26",149.3493398
"4116","46","26",983.6776933
"4118","49.1-2","26",0.876613894
"4119","49.3-5","26",102.1686331
"4120","50","26",5.83835669
"4121","51","26",0.816899133
"4122","52","26",37.69563031
"4123","53","26",4.281169292
"4124","55","26",0.787401772
"4125","56","26",107.4864085
"4126","58","26",6.337574137
"4128","61","26",52.18415454
"4129","62","26",78.76256389
"4130","63","26",9.40892051
"4131","64","26",243.9955571
"4132","65.1-3","26",13.00118354
"4133","66","26",11.76108744
"4134","68.1-2","26",24.41805777
"4136","69.1","26",24.17437515
"4137","69.2","26",16.33523698
"4138","70","26",34.21625867
"4139","71","26",226.2051421
"4140","72","26",27.49892464
"4141","73","26",80.37494268
"4142","74","26",14.71327301
"4144","77","26",92.27259204
"4145","78","26",586.7237625
"4146","79","26",15.05430957
"4148","81","26",15.99464458
"4149","82","26",36.67477915
"4150","84","26",13.43990196
"4151","85","26",26.658404
"4152","86","26",2.633153123
"4153","87-88","26",7.694003645
"4157","93","26",0.176087256
"4158","94","26",5.183056114
"4159","95","26",0.133595256
"4160","96","26",7.787050168
"4161","1","27",0.229709035
"4164","5","27",0.82646177
"4168","10.1","27",3.725367788
"4169","10.2-3","27",3.019680273
"4171","10.5","27",1.852804194
"4173","10.7","27",1.098277205
"4174","10.8","27",2.925137331
"4182","16","27",16.44111797
"4183","17","27",53.96248362
"4184","18","27",4.993613911
"4185","19","27",25.68535203
"4186","20A","27",1.660560199
"4187","20B","27",206.698014
"4189","20.3","27",28.9793368
"4191","20.5","27",2.194794021
"4193","22","27",103.9491611
"4194","23OTHER","27",39.93133422
"4196","24.1-3","27",76.21737035
"4197","24.4-5","27",172.4893259
"4198","25OTHER","27",498.2018786
"4200","26","27",207.3175904
"4201","27","27",530.5865585
"4202","28","27",13.97830002
"4203","29","27",0.907881431
"4205","30.3","27",0.484260657
"4206","30OTHER","27",0.212084834
"4207","31","27",2.801915797
"4208","32","27",15.32897353
"4210","33.16","27",1.888488791
"4211","33OTHER","27",362.5077231
"4212","35.1","27",110.1487957
"4213","35.2-3","27",73.14429769
"4214","36","27",13.23890579
"4215","37","27",1.811562314
"4216","38","27",1.998568226
"4218","41-43","27",25.04329788
"4219","45","27",86.91759395
"4220","46","27",619.7362096
"4222","49.1-2","27",0.845747847
"4223","49.3-5","27",65.13348013
"4224","50","27",2.77158073
"4226","52","27",13.39105851
"4227","53","27",9.370248748
"4229","56","27",9.550236605
"4230","58","27",10.87342532
"4232","61","27",21.82300567
"4233","62","27",96.8267462
"4234","63","27",7.928935194
"4235","64","27",245.2968976
"4236","65.1-3","27",14.84215682
"4237","66","27",10.32483914
"4238","68.1-2","27",24.50881786
"4240","69.1","27",9.572334595
"4241","69.2","27",36.53591857
"4242","70","27",21.53426698
"4243","71","27",49.70677509
"4244","72","27",9.813925159
"4245","73","27",36.15706704
"4246","74","27",3.140153127
"4248","77","27",74.63079944
"4249","78","27",40.99060581
"4250","79","27",14.01457911
"4252","81","27",8.25901441
"4253","82","27",6.716083394
"4254","84","27",13.17534777
"4255","85","27",12.20940111
"4256","86","27",1.779835061
"4257","87-88","27",0.506949305
"4262","94","27",3.600930035
"4263","95","27",1.640205689
"4264","96","27",0.453177567
"4265","1","28",0.375378966
"4268","5","28",0.17325046
"4269","06 & 07","28",0.330216404
"4270","8","28",2.139064043
"4272","10.1","28",5.362754156
"4273","10.2-3","28",7.980123562
"4275","10.5","28",3.822062223
"4276","10.6","28",0.373174602
"4277","10.7","28",1.425609043
"4278","10.8","28",5.755491379
"4283","13","28",1.607796756
"4285","15","28",0.336646452
"4286","16","28",17.27771884
"4287","17","28",71.13150643
"4288","18","28",12.06193075
"4289","19","28",37.38332283
"4290","20A","28",9.279478022
"4291","20B","28",35.740398
"4292","20C","28",2.685160348
"4293","20.3","28",48.63820379
"4294","20.4","28",0.16852218
"4295","20.5","28",0.27090266
"4297","22","28",205.0221292
"4298","23OTHER","28",11.83264694
"4299","23.5-6","28",1.182802291
"4300","24.1-3","28",451.6914316
"4301","24.4-5","28",183.437489
"4302","25OTHER","28",1373.895396
"4303","25.4","28",8.579523541
"4304","26","28",19.59142003
"4305","27","28",70.97015687
"4306","28","28",1088.257741
"4307","29","28",358.4536345
"4309","30.3","28",7.0588642
"4310","30OTHER","28",0.616591954
"4311","31","28",3.526854122
"4312","32","28",202.9827914
"4313","33.15","28",1.560909977
"4314","33.16","28",44.9024514
"4315","33OTHER","28",696.9263099
"4316","35.1","28",276.4549958
"4317","35.2-3","28",180.1969545
"4318","36","28",9.489396331
"4319","37","28",4.397325482
"4320","38","28",5.550386076
"4322","41-43","28",102.5061289
"4323","45","28",225.8828454
"4324","46","28",1298.024522
"4326","49.1-2","28",2.535945184
"4327","49.3-5","28",53.83442567
"4328","50","28",2.859022668
"4329","51","28",0.128979997
"4330","52","28",39.84505458
"4331","53","28",15.06631922
"4332","55","28",0.826714335
"4333","56","28",7.564625763
"4334","58","28",25.55282419
"4336","61","28",58.50106544
"4337","62","28",166.7033587
"4338","63","28",14.76439965
"4339","64","28",332.3065435
"4340","65.1-3","28",28.45862768
"4341","66","28",8.467055644
"4342","68.1-2","28",30.26524495
"4344","69.1","28",35.15049077
"4345","69.2","28",51.37226974
"4346","70","28",34.77483959
"4347","71","28",128.0878011
"4348","72","28",29.54874873
"4349","73","28",57.56962597
"4350","74","28",8.737950232
"4352","77","28",86.25733753
"4353","78","28",54.37519083
"4354","79","28",35.98774905
"4356","81","28",14.31478143
"4357","82","28",4.512900759
"4358","84","28",38.49916935
"4359","85","28",29.95418144
"4360","86","28",3.318891419
"4366","94","28",5.109576975
"4368","96","28",2.671579599
"4372","5","29",0.936980121
"4376","10.1","29",3.647176761
"4377","10.2-3","29",8.25679542
"4378","10.4","29",0.896438959
"4379","10.5","29",6.390894423
"4381","10.7","29",6.353001517
"4382","10.8","29",10.01198559
"4387","13","29",153.1567158
"4389","15","29",2.066084845
"4390","16","29",132.1140998
"4391","17","29",25.67950547
"4392","18","29",10.16910668
"4393","19","29",10.55143141
"4394","20A","29",1.001465308
"4395","20B","29",454.440109
"4396","20C","29",1.872998344
"4397","20.3","29",132.657283
"4399","20.5","29",0.966493468
"4401","22","29",1170.818567
"4402","23OTHER","29",139.0787589
"4403","23.5-6","29",1.868603758
"4404","24.1-3","29",571.1842064
"4405","24.4-5","29",434.4495625
"4406","25OTHER","29",1646.604006
"4408","26","29",49.38436355
"4409","27","29",41.97503585
"4410","28","29",159.5390779
"4411","29","29",5405.960446
"4413","30.3","29",7.990742786
"4415","31","29",141.7021958
"4416","32","29",100.2282795
"4418","33.16","29",4.432500931
"4419","33OTHER","29",948.2680707
"4420","35.1","29",313.8978595
"4421","35.2-3","29",149.3650124
"4422","36","29",19.02897455
"4423","37","29",4.657119102
"4424","38","29",6.74362717
"4426","41-43","29",107.9936248
"4427","45","29",2595.63294
"4428","46","29",1514.278471
"4430","49.1-2","29",4.530742452
"4431","49.3-5","29",52.7069208
"4432","50","29",12.62559581
"4433","51","29",1.787095103
"4434","52","29",65.126462
"4435","53","29",34.71142924
"4436","55","29",0.899291515
"4437","56","29",11.75535343
"4438","58","29",28.33728406
"4440","61","29",4.262069789
"4441","62","29",197.0088379
"4442","63","29",25.51896954
"4443","64","29",997.0230818
"4444","65.1-3","29",23.86087299
"4445","66","29",4.135058039
"4446","68.1-2","29",20.50301944
