"","SICto","SICfrom","value"
"465","33.15","06...07",173.4047528
"466","33.16","06...07",61.93026885
"467","33OTHER","06...07",161.9714724
"468","35.1","06...07",98.13565679
"469","35.2-3","06...07",233.4294749
"470","36","06...07",7.622186935
"471","37","06...07",5.716640202
"472","38","06...07",5.716640202
"474","41-43","06...07",759.3603734
"475","45","06...07",40.01648141
"476","46","06...07",128.6244045
"478","49.1-2","06...07",72.41077589
"479","49.3-5","06...07",9.527733669
"480","50","06...07",107.6633905
"481","51","06...07",1.905546734
"482","52","06...07",15.24437387
"483","53","06...07",40.01648141
"485","56","06...07",16.19714724
"488","61","06...07",15.24437387
"489","62","06...07",242.0044352
"491","64","06...07",800.3296282
"492","65.1-3","06...07",30.48874774
"494","68.1-2","06...07",8.574960302
"496","69.1","06...07",610.7277282
"497","69.2","06...07",81.93850955
"498","70","06...07",2.858320101
"499","71","06...07",218.185101
"500","72","06...07",43.82757488
"501","73","06...07",33.34706784
"502","74","06...07",15.24437387
"504","77","06...07",239.1461151
"505","78","06...07",247.7210754
"509","82","06...07",11.4332804
"510","84","06...07",12.38605377
"511","85","06...07",9.527733669
"512","86","06...07",12.38605377
"513","87-88","06...07",4.763866835
"517","93","06...07",46.68589498
"519","95","06...07",1.905546734
"520","96","06...07",5.716640202
"521","1","8",0.154053977
"524","5","8",0.813821284
"526","8","8",100.0772586
"528","10.1","8",0.814913523
"529","10.2-3","8",1.641101003
"531","10.5","8",0.816263974
"533","10.7","8",0.814373263
"542","16","8",2.441088052
"543","17","8",0.898531088
"544","18","8",0.814702186
"545","19","8",12.20881073
"546","20A","8",7.323452056
"547","20B","8",1.636627768
"551","20.5","8",0.813997464
"553","22","8",7.353178875
"554","23OTHER","8",12.20661493
"555","23.5-6","8",129.3677081
"556","24.1-3","8",0.814173644
"557","24.4-5","8",0.831075245
"558","25OTHER","8",15.46489513
"559","25.4","8",0.813633384
"560","26","8",0.814690467
"562","28","8",0.813997464
"563","29","8",0.814185363
"568","32","8",0.816874945
"571","33OTHER","8",18.7263583
"572","35.1","8",96.03617423
"573","35.2-3","8",52.09348836
"574","36","8",4.071102997
"575","37","8",0.814349825
"576","38","8",3.255966418
"578","41-43","8",18.71980407
"579","45","8",8.954747139
"580","46","8",45.67429196
"582","49.1-2","8",1.628171108
"583","49.3-5","8",313.3061646
"584","50","8",1.62851175
"586","52","8",1.634454612
"587","53","8",2.447676643
"589","56","8",0.815113141
"590","58","8",0.817779285
"592","61","8",4.886639209
"593","62","8",12.21932296
"594","63","8",0.815583088
"595","64","8",184.7668684
"596","65.1-3","8",3.255778519
"597","66","8",3.258104021
"598","68.1-2","8",1.629968069
"601","69.2","8",0.822923673
"602","70","8",1.632986574
"603","71","8",3.266289955
"604","72","8",0.818284388
"605","73","8",3.30443351
"606","74","8",0.815430345
"608","77","8",31.74223726
"609","78","8",2.449250548
"610","79","8",2.44165175
"613","82","8",1.63049661
"614","84","8",2.448111434
"621","93","8",0.814009183
"629","06 & 07","9",9.25756995
"631","9","9",345.5126703
"633","10.2-3","9",1.710101487
"635","10.5","9",1.696467363
"637","10.7","9",1.669199116
"638","10.8","9",1.791906229
"646","16","9",0.895953114
"649","19","9",7.736359063
"650","20A","9",0.109072989
"660","24.1-3","9",7.300067106
"661","24.4-5","9",1.641930869
"662","25OTHER","9",122.9831677
"664","26","9",1.614662622
"665","27","9",9.105607459
"666","28","9",20.8270046
"669","30.3","9",1.68283324
"673","33.15","9",50.51226544
"674","33.16","9",10.49238902
"675","33OTHER","9",21.53014299
"676","35.1","9",13.41202847
"677","35.2-3","9",104.2051557
"678","36","9",1.710101487
"682","41-43","9",134.1455909
"683","45","9",6.176232936
"684","46","9",31.4596339
"686","49.1-2","9",2.637221894
"687","49.3-5","9",1.737369734
"688","50","9",11.94734121
"690","52","9",4.220717223
"691","53","9",9.378289932
"693","56","9",1.032294351
"696","61","9",3.420202974
"697","62","9",21.87489513
"698","63","9",1.601028498
"699","64","9",155.5452287
"700","65.1-3","9",2.837834703
"701","66","9",2.401542747
"702","68.1-2","9",1.723735611
"704","69.1","9",107.2027259
"705","69.2","9",24.38744785
"707","71","9",42.34741251
"708","72","9",11.03385492
"709","73","9",9.282851066
"710","74","9",4.220717223
"712","77","9",105.0874747
"713","78","9",12.35052888
"716","81","9",1.601028498
"717","82","9",7.368237724
"718","84","9",2.578786354
"719","85","9",1.737369734
"720","86","9",1.778272105
"725","93","9",10.27424305
"728","96","9",1.68283324
"729","1","10.1",2756.551702
"731","3","10.1",0.308349749
"732","5","10.1",1.443781495
"736","10.1","10.1",2538.022181
"737","10.2-3","10.1",56.29800492
"738","10.4","10.1",18.60535331
"739","10.5","10.1",35.66200054
"740","10.6","10.1",289.292949
"741","10.7","10.1",4.083990133
"742","10.8","10.1",244.8074834
"743","10.9","10.1",69.76779709
"744","11.01-6","10.1",0.29647261
"750","16","10.1",12.01824892
"751","17","10.1",190.5336911
"752","18","10.1",4.864324713
"753","19","10.1",19.46358701
"755","20B","10.1",0.946341519
"756","20C","10.1",0.908043179
"758","20.4","10.1",6.926841825
"759","20.5","10.1",0.951684169
"760","21","10.1",0.260930649
"761","22","10.1",233.4643427
"762","23OTHER","10.1",3.787515693
"764","24.1-3","10.1",0.94454545
"766","25OTHER","10.1",54.54277262
"768","26","10.1",0.949248156
"769","27","10.1",0.914458163
"770","28","10.1",0.956393219
"771","29","10.1",0.956398734
"775","31","10.1",3.79881573
"776","32","10.1",4.187147875
"779","33OTHER","10.1",49.81027489
"780","35.1","10.1",181.0624198
"781","35.2-3","10.1",158.0172165
"782","36","10.1",6.47863497
"783","37","10.1",12.08398318
"784","38","10.1",27.51502599
"786","41-43","10.1",4.592934374
"787","45","10.1",116.0130024
"788","46","10.1",411.8620806
"790","49.1-2","10.1",0.949260015
"791","49.3-5","10.1",274.0678722
"792","50","10.1",1.84896672
"794","52","10.1",11.06411821
"795","53","10.1",17.16684872
"797","56","10.1",33.44697747
"798","58","10.1",6.279839439
"800","61","10.1",12.93077453
"801","62","10.1",51.79793094
"802","63","10.1",10.61377859
"803","64","10.1",119.1170444
"804","65.1-3","10.1",4.164889683
"805","66","10.1",2.852493619
"806","68.1-2","10.1",12.59597608
"808","69.1","10.1",0.99064965
"809","69.2","10.1",14.80198878
"810","70","10.1",21.00487173
"811","71","10.1",19.40395473
"812","72","10.1",6.468171924
